name,url,graphic,type,parent,title
Glossary,https://www.usda.gov/glossary,,utility,,
Ask USDA,https://ask.usda.gov/s/?utm_source=USDA&utm_medium=homepage&utm_campaign=homepage%20referrals,,utility,,
Recalls,https://www.fsis.usda.gov/wps/portal/fsis/topics/recalls-and-public-health-alerts,,utility,,
Contact Us,https://ask.usda.gov/s/contactsupport,,utility,,
Topics,https://www.usda.gov/topics,,primary,,
Our Agency,https://www.usda.gov/our-agency,,primary,,
Media,https://www.usda.gov/media,,primary,,
Animals,https://www.usda.gov/topics/animals,,secondary,Topics,
Biotechnology,https://www.usda.gov/topics/biotechnology,,secondary,Topics,
Broadband,https://www.usda.gov/broadband,,secondary,Topics,
About USDA,https://www.usda.gov/our-agency/about-usda,,secondary,Our Agency,
Agencies,https://www.usda.gov/our-agency/agencies,,secondary,Our Agency,
Careers,https://www.usda.gov/our-agency/careers,,secondary,Our Agency,
Agency News Releases,https://www.usda.gov/media/agency-news-releases,,secondary,Media,
Agency Reports,https://www.usda.gov/media/agency-reports,,secondary,Media,
Blogs,https://www.usda.gov/media/blog,,secondary,Media,
Facebook,https://www.facebook.com/usda/,,social,,
Twitter,https://www.twitter.com/usda/,,social,,
YouTube,https://www.youtube.com/usda/,,social,,
RSS,https://www.usda.gov/rss-feeds,,social,,
Phone,tel:1-800-555-5555,,contact,,(800) CALL-GOVT
Email,mailto:info@agency.gov,,contact,,info@agency.gov
